iter	RMSE
0	111281.5185
1	107374.1868
2	103698.5097
3	100436.5984
4	97317.09211
5	94385.94257
6	91907.33149
7	89644.59025
8	87654.81256
9	85608.18678
10	83699.75568
11	82010.09642
12	80489.11655
13	79094.53649
14	77799.12853
15	76655.07476
16	75610.70745
17	74490.77843
18	73639.26071
19	72710.44185
20	71946.44082
21	71204.68571
22	70583.48576
23	69943.62182
24	69396.84218
25	68855.22659
26	68289.59986
27	67827.44948
28	67384.84778
29	67038.90175
30	66663.07906
31	66236.4085
32	65695.06166
33	65316.63114
34	64997.00944
35	64734.92758
36	64443.48528
37	64147.25862
38	63847.74818
39	63557.56048
40	63261.12857
41	62996.83671
42	62793.17661
43	62587.22659
44	62205.18806
45	62007.92008
46	61795.34523
47	61626.20167
48	61259.35299
49	61019.17922
50	60886.74363
51	60711.92095
52	60520.10839
53	60311.52736
54	60125.00218
55	59982.47561
56	59781.62056
57	59621.74523
58	59405.66324
59	59155.44666
60	58928.33977
61	58820.71343
62	58700.22193
63	58605.70971
64	58418.27644
65	58298.84025
66	58134.15926
67	57942.36223
68	57803.81416
69	57688.04089
70	57576.84678
71	57435.36617
72	57318.56008
73	57206.31604
74	57095.81458
75	56932.04941
76	56757.04403
77	56665.83066
78	56583.17583
79	56366.40154
80	56284.46298
81	56174.32151
82	56086.46506
83	55960.01189
84	55805.82891
85	55711.89181
86	55517.06192
87	55450.27901
88	55370.54032
89	55308.18004
90	55218.39652
91	55141.29465
92	55010.76179
93	54935.92796
94	54878.94644
95	54785.66155
96	54699.21188
97	54613.464
98	54500.91674
99	54447.00738
100	54379.28879
101	54270.43663
102	54122.17969
103	54052.32688
104	54000.32148
105	53912.23896
106	53823.87793
107	53746.36537
108	53623.95273
109	53556.84321
110	53508.44626
111	53443.63784
112	53334.66349
113	53234.66219
114	53086.69222
115	52994.40175
116	52915.61188
117	52841.29141
118	52744.76309
119	52696.06144
120	52656.65169
121	52601.42702
122	52542.98357
123	52466.87666
124	52432.25501
125	52377.2136
126	52325.29651
127	52250.97613
128	52216.40485
129	52128.86997
130	52039.14495
131	51944.33492
132	51868.18309
133	51785.30221
134	51733.92485
135	51668.45325
136	51588.39778
137	51515.83728
138	51456.80965
139	51407.4773
140	51373.06571
141	51296.34021
142	51258.3137
143	51145.89466
144	51077.17472
145	51040.90287
146	50968.29821
147	50897.60148
148	50851.8083
149	50766.37744
150	50729.06806
151	50684.14293
152	50591.90533
153	50548.52247
154	50474.24219
155	50415.25891
156	50378.97969
157	50313.96367
158	50240.57339
159	50208.10494
160	50148.38358
161	50099.96776
162	50059.48112
163	50029.26894
164	49983.77285
165	49918.22069
166	49849.07155
167	49805.90867
168	49732.87469
169	49678.40196
170	49643.62662
171	49580.53731
172	49542.37896
173	49485.68715
174	49437.9365
175	49378.26225
176	49331.13718
177	49299.56566
178	49259.6724
179	49220.20398
180	49158.94217
181	49128.46049
182	49073.67115
183	49035.97856
184	48980.05117
185	48943.32347
186	48879.42119
187	48839.97712
188	48787.97539
189	48738.01708
190	48684.51077
191	48628.53779
192	48599.87356
193	48541.30261
194	48505.98629
195	48462.00988
196	48423.59073
197	48380.72474
198	48346.77674
199	48317.38049
200	48261.96673
201	48228.01142
202	48186.46801
203	48150.09186
204	48105.13041
205	48057.81452
206	48015.31911
207	47964.07294
208	47911.893
209	47882.18862
210	47856.22581
211	47813.98868
212	47782.20348
213	47729.91091
214	47686.24542
215	47653.93418
216	47619.26861
217	47589.38822
218	47546.1495
219	47518.87963
220	47489.95785
221	47446.03205
222	47426.70998
223	47387.50753
224	47333.6313
225	47304.22428
226	47247.28646
227	47217.16809
228	47181.88139
229	47158.30724
230	47136.78476
231	47114.5094
232	47085.73858
233	47063.42069
234	47043.23774
235	46994.84833
236	46969.77583
237	46931.6978
238	46882.42861
239	46850.08251
240	46823.10806
241	46794.49691
242	46768.82951
243	46739.95514
