iter	Passed	Remaining
0	153	153110
1	157	78459
2	160	53495
3	165	41114
4	169	33661
5	173	28751
6	177	25245
7	182	22654
8	187	20619
9	191	18981
10	196	17680
11	201	16589
12	206	15657
13	211	14911
14	216	14238
15	221	13648
16	227	13153
17	232	12681
18	237	12239
19	242	11860
20	247	11514
21	251	11197
22	257	10932
23	262	10666
24	267	10425
25	272	10200
26	277	9993
27	282	9804
28	287	9625
29	292	9459
30	297	9301
31	302	9159
32	307	9013
33	312	8877
34	317	8746
35	321	8615
36	326	8500
37	331	8389
38	336	8280
39	340	8176
40	345	8077
41	350	7983
42	354	7893
43	359	7805
44	364	7728
45	368	7651
46	373	7575
47	378	7516
48	384	7456
49	390	7411
50	395	7351
51	399	7288
52	404	7225
53	409	7175
54	414	7118
55	419	7063
56	424	7029
57	430	6984
58	434	6932
59	440	6895
60	444	6848
61	449	6799
62	454	6761
63	459	6713
64	463	6667
65	469	6639
66	473	6596
67	478	6554
68	482	6516
69	487	6478
70	492	6440
71	496	6401
72	501	6372
73	506	6341
74	511	6308
75	516	6278
76	521	6246
77	525	6214
78	530	6185
79	535	6157
80	540	6129
81	545	6106
82	551	6092
83	556	6063
84	561	6039
85	565	6014
86	570	5990
87	575	5967
88	580	5941
89	585	5915
90	589	5891
91	594	5865
92	599	5842
93	603	5819
94	608	5794
95	612	5770
96	617	5747
97	622	5725
98	626	5704
99	631	5684
100	636	5663
101	640	5640
102	645	5620
103	650	5602
104	654	5581
105	659	5561
106	664	5546
107	669	5525
108	673	5505
109	678	5488
110	683	5470
111	687	5451
112	692	5437
113	697	5419
114	701	5401
115	706	5382
116	711	5367
117	716	5352
118	720	5334
119	725	5319
120	730	5303
121	734	5287
122	739	5270
123	743	5255
124	748	5238
125	753	5226
126	758	5214
127	763	5202
128	768	5187
129	774	5183
130	780	5179
131	786	5169
132	791	5157
133	795	5144
134	800	5131
135	805	5118
136	810	5106
137	815	5091
138	819	5077
139	824	5064
140	829	5050
141	833	5038
142	838	5026
143	843	5016
144	848	5004
145	853	4992
146	858	4982
147	863	4971
148	868	4960
149	873	4949
150	878	4937
151	882	4924
152	888	4917
153	893	4908
154	899	4904
155	904	4893
156	909	4881
157	914	4872
158	919	4861
159	923	4849
160	928	4838
161	932	4826
162	937	4814
163	943	4808
164	950	4807
165	955	4801
166	960	4792
167	966	4785
168	971	4778
169	977	4770
170	982	4761
171	987	4752
172	992	4745
173	998	4741
174	1004	4735
175	1011	4734
176	1016	4726
177	1021	4718
178	1027	4710
179	1032	4705
180	1041	4710
181	1046	4703
182	1051	4695
183	1056	4686
184	1062	4679
185	1068	4677
186	1073	4668
187	1078	4659
188	1083	4650
189	1089	4643
190	1094	4636
191	1100	4629
192	1104	4620
193	1110	4612
194	1115	4604
195	1120	4596
196	1126	4590
197	1131	4582
198	1136	4576
199	1141	4567
200	1147	4560
201	1152	4553
202	1157	4546
203	1162	4536
204	1167	4527
205	1172	4520
206	1177	4511
207	1182	4502
208	1186	4492
209	1191	4482
210	1196	4472
211	1200	4463
212	1205	4454
213	1210	4445
214	1214	4436
215	1219	4427
216	1224	4417
217	1229	4411
218	1234	4401
219	1238	4391
220	1243	4382
221	1247	4371
222	1251	4362
223	1256	4353
224	1261	4343
225	1265	4333
226	1270	4324
227	1274	4316
228	1279	4307
229	1284	4298
230	1288	4289
231	1293	4280
232	1297	4271
233	1302	4262
234	1306	4254
235	1311	4245
236	1315	4235
237	1320	4228
238	1325	4220
239	1330	4212
240	1335	4206
241	1340	4198
242	1345	4190
243	1350	4183
244	1355	4176
245	1360	4169
246	1365	4162
247	1370	4156
248	1375	4148
249	1381	4143
250	1386	4136
251	1391	4129
252	1396	4123
253	1401	4116
254	1406	4109
255	1411	4103
256	1417	4097
257	1421	4089
258	1426	4081
259	1431	4075
260	1437	4069
261	1441	4061
262	1447	4055
263	1452	4049
264	1457	4042
265	1462	4036
266	1467	4029
267	1472	4022
268	1477	4015
269	1482	4008
270	1487	4001
271	1492	3995
272	1498	3989
273	1503	3983
274	1508	3977
275	1513	3971
276	1520	3968
277	1525	3961
278	1530	3956
279	1535	3949
280	1540	3942
281	1545	3935
282	1550	3929
283	1555	3922
284	1561	3916
285	1565	3908
286	1570	3901
287	1575	3895
288	1580	3888
289	1585	3881
290	1590	3875
291	1595	3868
292	1600	3861
293	1605	3855
294	1610	3849
295	1615	3841
296	1620	3836
297	1625	3829
298	1630	3822
299	1635	3816
300	1640	3809
301	1645	3802
302	1649	3795
303	1654	3788
304	1659	3780
305	1663	3773
306	1668	3766
307	1673	3760
308	1678	3752
309	1682	3745
310	1687	3738
311	1692	3732
312	1697	3724
313	1701	3718
314	1706	3711
315	1711	3704
316	1716	3697
317	1721	3691
318	1725	3684
319	1730	3677
320	1735	3670
321	1739	3663
322	1744	3656
323	1749	3650
324	1754	3644
325	1759	3637
326	1764	3630
327	1768	3623
328	1773	3616
329	1778	3610
330	1782	3603
331	1787	3596
332	1792	3590
333	1797	3583
334	1801	3576
335	1806	3570
336	1811	3563
337	1816	3557
338	1821	3550
339	1825	3544
340	1830	3538
341	1835	3531
342	1840	3525
343	1845	3518
344	1849	3511
345	1854	3506
346	1859	3500
347	1864	3493
348	1869	3487
349	1874	3481
350	1879	3475
351	1885	3471
352	1891	3466
353	1897	3462
354	1903	3457
355	1908	3452
356	1913	3446
357	1919	3442
358	1924	3437
359	1930	3431
360	1935	3425
361	1941	3421
362	1946	3416
363	1951	3410
364	1956	3404
365	1964	3402
366	1973	3403
367	1978	3398
368	1984	3393
369	1990	3389
370	1996	3384
371	2002	3380
372	2008	3376
373	2014	3371
374	2019	3366
375	2025	3361
376	2030	3355
377	2036	3351
378	2043	3348
379	2049	3344
380	2055	3339
381	2060	3334
382	2066	3328
383	2072	3324
384	2078	3319
385	2083	3314
386	2089	3309
387	2094	3303
388	2100	3299
389	2105	3293
390	2111	3289
391	2121	3291
392	2127	3285
393	2132	3279
394	2136	3273
395	2142	3267
396	2146	3260
397	2151	3253
398	2155	3247
399	2160	3240
400	2164	3233
401	2169	3227
402	2174	3220
403	2178	3213
404	2183	3207
405	2187	3201
406	2192	3194
407	2196	3187
408	2201	3181
409	2206	3174
410	2210	3167
411	2215	3161
412	2219	3154
413	2223	3147
414	2228	3141
415	2232	3134
416	2237	3127
417	2241	3120
418	2246	3115
419	2250	3108
420	2255	3101
421	2259	3095
422	2264	3088
423	2268	3081
424	2272	3074
425	2277	3068
426	2281	3061
427	2285	3054
428	2290	3048
429	2294	3041
430	2299	3035
431	2303	3028
432	2307	3022
433	2312	3015
434	2316	3009
435	2321	3002
436	2325	2996
437	2330	2989
438	2334	2983
439	2339	2977
440	2343	2970
441	2348	2964
442	2352	2958
443	2357	2951
444	2362	2945
445	2366	2939
446	2371	2933
447	2375	2927
448	2380	2920
449	2384	2914
450	2389	2908
451	2394	2902
452	2398	2896
453	2402	2889
454	2407	2883
455	2412	2878
456	2417	2872
457	2422	2866
458	2427	2860
459	2432	2854
460	2436	2848
461	2444	2846
462	2450	2841
463	2456	2837
464	2461	2831
465	2466	2826
466	2471	2820
467	2476	2815
468	2481	2809
469	2486	2804
470	2491	2798
471	2496	2792
472	2502	2787
473	2507	2782
474	2511	2776
475	2516	2770
476	2521	2764
477	2526	2758
478	2530	2752
479	2535	2746
480	2540	2741
481	2545	2735
482	2550	2729
483	2555	2724
484	2559	2718
485	2564	2712
486	2569	2706
487	2573	2700
488	2578	2694
489	2582	2687
490	2587	2682
491	2591	2676
492	2596	2669
493	2601	2664
494	2605	2658
495	2610	2652
496	2615	2646
497	2619	2640
498	2624	2634
499	2629	2629
500	2633	2623
501	2638	2617
502	2642	2611
503	2647	2605
504	2651	2599
505	2656	2593
506	2662	2588
507	2667	2583
508	2671	2576
509	2675	2571
510	2681	2565
511	2685	2559
512	2690	2553
513	2695	2548
514	2700	2542
515	2705	2537
516	2710	2531
517	2715	2526
518	2719	2520
519	2725	2515
520	2730	2510
521	2736	2505
522	2741	2500
523	2746	2494
524	2751	2489
525	2757	2485
526	2764	2480
527	2769	2475
528	2773	2469
529	2778	2464
530	2783	2458
531	2788	2452
532	2793	2447
533	2797	2441
534	2802	2435
535	2806	2429
536	2811	2423
537	2815	2417
538	2820	2411
539	2825	2406
540	2830	2401
541	2834	2395
542	2839	2390
543	2844	2384
544	2849	2378
545	2854	2373
546	2858	2367
547	2863	2361
548	2867	2355
549	2872	2350
550	2876	2344
551	2881	2338
552	2887	2333
553	2892	2328
554	2896	2322
555	2903	2318
556	2908	2313
557	2912	2307
558	2917	2301
559	2922	2296
560	2927	2290
561	2932	2285
562	2936	2279
563	2941	2273
564	2946	2268
565	2950	2262
566	2955	2257
567	2960	2251
568	2965	2246
569	2970	2240
570	2975	2235
571	2981	2230
572	2987	2226
573	2993	2221
574	2999	2216
575	3004	2211
576	3010	2207
577	3017	2202
578	3023	2198
579	3029	2194
580	3036	2189
581	3041	2184
582	3047	2179
583	3054	2175
584	3059	2170
585	3065	2165
586	3070	2160
587	3075	2155
588	3081	2150
589	3087	2145
590	3092	2140
591	3098	2135
592	3103	2130
593	3108	2124
594	3113	2119
595	3118	2113
596	3123	2108
597	3128	2102
598	3132	2097
599	3137	2091
600	3143	2086
601	3148	2081
602	3153	2075
603	3158	2070
604	3163	2065
605	3168	2059
606	3172	2054
607	3177	2048
608	3182	2043
609	3186	2037
610	3191	2032
611	3196	2026
612	3201	2021
613	3205	2015
614	3210	2009
615	3215	2004
616	3220	1998
617	3224	1993
618	3229	1987
619	3234	1982
620	3238	1976
621	3244	1971
622	3250	1966
623	3254	1961
624	3259	1955
625	3264	1950
626	3268	1944
627	3273	1939
628	3278	1933
629	3282	1928
630	3287	1922
631	3293	1917
632	3298	1912
633	3303	1906
634	3308	1901
635	3312	1895
636	3317	1890
637	3321	1884
638	3326	1879
639	3331	1873
640	3336	1868
641	3341	1863
642	3346	1857
643	3351	1852
644	3356	1847
645	3361	1841
646	3365	1836
647	3370	1831
648	3375	1825
649	3380	1820
650	3385	1814
651	3389	1809
652	3394	1803
653	3400	1798
654	3404	1793
655	3409	1787
656	3415	1782
657	3420	1777
658	3424	1772
659	3430	1767
660	3434	1761
661	3439	1756
662	3444	1750
663	3449	1745
664	3454	1740
665	3459	1735
666	3465	1730
667	3470	1725
668	3476	1719
669	3481	1714
670	3486	1709
671	3491	1704
672	3496	1699
673	3501	1693
674	3506	1688
675	3512	1683
676	3517	1678
677	3522	1672
678	3527	1667
679	3532	1662
680	3537	1656
681	3542	1651
682	3547	1646
683	3552	1641
684	3557	1635
685	3562	1630
686	3567	1625
687	3572	1620
688	3577	1615
689	3583	1609
690	3587	1604
691	3593	1599
692	3598	1593
693	3602	1588
694	3607	1583
695	3613	1578
696	3618	1573
697	3623	1567
698	3628	1562
699	3633	1557
700	3638	1551
701	3643	1546
702	3647	1541
703	3651	1535
704	3656	1530
705	3661	1524
706	3666	1519
707	3671	1514
708	3676	1509
709	3681	1503
710	3687	1498
711	3692	1493
712	3698	1488
713	3703	1483
714	3709	1478
715	3714	1473
716	3720	1468
717	3725	1463
718	3730	1458
719	3735	1452
720	3740	1447
721	3746	1442
722	3751	1437
723	3755	1431
724	3761	1426
725	3766	1421
726	3771	1416
727	3776	1411
728	3781	1405
729	3787	1400
730	3792	1395
731	3797	1390
732	3802	1385
733	3807	1379
734	3812	1374
735	3817	1369
736	3822	1364
737	3827	1358
738	3833	1353
739	3838	1348
740	3844	1343
741	3849	1338
742	3855	1333
743	3860	1328
744	3865	1323
745	3870	1317
746	3876	1312
747	3881	1307
748	3887	1302
749	3892	1297
750	3897	1292
751	3902	1287
752	3907	1281
753	3913	1276
754	3918	1271
755	3923	1266
756	3929	1261
757	3934	1256
758	3940	1251
759	3945	1245
760	3950	1240
761	3955	1235
762	3961	1230
763	3966	1225
764	3971	1220
765	3977	1214
766	3982	1209
767	3987	1204
768	3993	1199
769	3999	1194
770	4005	1189
771	4013	1185
772	4019	1180
773	4028	1176
774	4035	1171
775	4040	1166
776	4045	1161
777	4051	1156
778	4057	1151
779	4063	1146
780	4069	1141
781	4074	1135
782	4079	1130
783	4084	1125
784	4090	1120
785	4095	1114
786	4100	1109
787	4106	1104
788	4111	1099
789	4116	1094
790	4121	1089
791	4126	1083
792	4131	1078
793	4136	1073
794	4141	1067
795	4146	1062
796	4151	1057
797	4156	1052
798	4161	1046
799	4166	1041
800	4171	1036
801	4176	1031
802	4181	1025
803	4186	1020
804	4191	1015
805	4196	1009
806	4200	1004
807	4205	999
808	4210	994
809	4215	988
810	4220	983
811	4225	978
812	4230	973
813	4235	967
814	4240	962
815	4245	957
816	4250	952
817	4255	946
818	4260	941
819	4265	936
820	4270	931
821	4274	925
822	4279	920
823	4284	915
824	4288	909
825	4293	904
826	4298	899
827	4302	893
828	4307	888
829	4312	883
830	4316	877
831	4321	872
832	4325	867
833	4330	861
834	4335	856
835	4339	851
836	4344	846
837	4349	840
838	4354	835
839	4359	830
840	4364	825
841	4369	819
842	4374	814
843	4379	809
844	4384	804
845	4389	799
846	4394	793
847	4399	788
848	4404	783
849	4409	778
850	4414	772
851	4418	767
852	4423	762
853	4429	757
854	4434	751
855	4439	746
856	4444	741
857	4449	736
858	4454	731
859	4459	725
860	4464	720
861	4469	715
862	4474	710
863	4479	705
864	4484	699
865	4489	694
866	4494	689
867	4499	684
868	4505	679
869	4510	674
870	4516	668
871	4521	663
872	4525	658
873	4531	653
874	4536	648
875	4540	642
876	4545	637
877	4550	632
878	4555	627
879	4560	621
880	4565	616
881	4570	611
882	4575	606
883	4580	601
884	4585	595
885	4590	590
886	4594	585
887	4599	580
888	4604	574
889	4609	569
890	4614	564
891	4618	559
892	4623	553
893	4627	548
894	4632	543
895	4637	538
896	4642	533
897	4647	527
898	4653	522
899	4658	517
900	4663	512
901	4668	507
902	4672	501
903	4677	496
904	4682	491
905	4687	486
906	4692	481
907	4697	475
908	4702	470
909	4707	465
910	4713	460
911	4718	455
912	4723	450
913	4728	444
914	4733	439
915	4738	434
916	4743	429
917	4748	424
918	4753	418
919	4758	413
920	4762	408
921	4767	403
922	4772	398
923	4777	392
924	4782	387
925	4787	382
926	4792	377
927	4797	372
928	4802	367
929	4807	361
930	4812	356
931	4817	351
932	4822	346
933	4827	341
934	4832	335
935	4836	330
936	4841	325
937	4846	320
938	4851	315
939	4856	309
940	4862	304
941	4866	299
942	4871	294
943	4877	289
944	4882	284
945	4887	278
946	4892	273
947	4897	268
948	4901	263
949	4906	258
950	4912	253
951	4916	247
952	4921	242
953	4926	237
954	4930	232
955	4935	227
956	4940	221
957	4944	216
958	4949	211
959	4953	206
960	4958	201
961	4963	196
962	4968	190
963	4973	185
964	4977	180
965	4982	175
966	4987	170
967	4993	165
968	4997	159
969	5003	154
970	5008	149
971	5013	144
972	5018	139
973	5023	134
974	5029	128
975	5036	123
976	5042	118
977	5050	113
978	5055	108
979	5061	103
980	5066	98
981	5071	92
982	5077	87
983	5084	82
984	5089	77
985	5094	72
986	5099	67
987	5103	61
988	5108	56
989	5113	51
990	5117	46
991	5121	41
992	5126	36
993	5130	30
994	5135	25
995	5139	20
996	5144	15
997	5148	10
998	5153	5
999	5157	0
